"Enfermedad","Año","Comunidad","Casos","Tasa notificacion","Hombres","Mujeres","Rango edad","Casos edad"
"Dengue",2022,"Andalucia",36,0.423,"","","",""
"Dengue",2023,"Andalucia",47,0.548,"","","",""
"Dengue",2024,"Andalucia",87,1.008,"","","",""
"Dengue",2022,"Aragon",7,0.527,"","","",""
"Dengue",2023,"Aragon",6,0.447,"","","",""
"Dengue",2024,"Aragon",22,1.628,"","","",""
"Dengue",2022,"Asturias",1,0.1,"","","",""
"Dengue",2023,"Asturias",12,1.193,"","","",""
"Dengue",2024,"Asturias",7,0.693,"","","",""
"Dengue",2022,"Baleares",9,0.758,"","","",""
"Dengue",2023,"Baleares",9,0.744,"","","",""
"Dengue",2024,"Baleares",38,3.085,"","","",""
"Dengue",2022,"Canarias",32,1.464,"","","",""
"Dengue",2023,"Canarias",29,1.31,"","","",""
"Dengue",2024,"Canarias",42,1.876,"","","",""
"Dengue",2022,"Cantabria",6,1.025,"","","",""
"Dengue",2023,"Cantabria",5,0.85,"","","",""
"Dengue",2024,"Cantabria",11,1.862,"","","",""
"Dengue",2022,"Castilla y Leon",15,0.631,"","","",""
"Dengue",2023,"Castilla y Leon",13,0.545,"","","",""
"Dengue",2024,"Castilla y Leon",22,0.92,"","","",""
"Dengue",2022,"Castilla-La Mancha",2,0.097,"","","",""
"Dengue",2023,"Castilla-La Mancha",6,0.288,"","","",""
"Dengue",2024,"Castilla-La Mancha",20,0.95,"","","",""
"Dengue",2022,"Cataluña",178,2.293,"","","",""
"Dengue",2023,"Cataluña",234,2.961,"","","",""
"Dengue",2024,"Cataluña",387,4.83,"","","",""
"Dengue",2022,"C. Valenciana",39,0.763,"","","",""
"Dengue",2023,"C. Valenciana",54,1.035,"","","",""
"Dengue",2024,"C. Valenciana",89,1.673,"","","",""
"Dengue",2022,"Extremadura",4,0.378,"","","",""
"Dengue",2023,"Extremadura",5,0.474,"","","",""
"Dengue",2024,"Extremadura",6,0.569,"","","",""
"Dengue",2022,"Galicia",4,0.149,"","","",""
"Dengue",2023,"Galicia",7,0.259,"","","",""
"Dengue",2024,"Galicia",30,1.109,"","","",""
"Dengue",2022,"Madrid",103,1.527,"","","",""
"Dengue",2023,"Madrid",127,1.848,"","","",""
"Dengue",2024,"Madrid",235,3.353,"","","",""
"Dengue",2022,"Murcia",8,0.523,"","","",""
"Dengue",2023,"Murcia",8,0.516,"","","",""
"Dengue",2024,"Murcia",18,1.148,"","","",""
"Dengue",2022,"Navarra",14,2.107,"","","",""
"Dengue",2023,"Navarra",13,1.934,"","","",""
"Dengue",2024,"Navarra",30,4.423,"","","",""
"Dengue",2022,"País Vasco",41,1.859,"","","",""
"Dengue",2023,"País Vasco",40,1.805,"","","",""
"Dengue",2024,"País Vasco",67,3.008,"","","",""
"Dengue",2022,"La Rioja",4,1.251,"","","",""
"Dengue",2023,"La Rioja",1,0.31,"","","",""
"Dengue",2024,"La Rioja",7,2.159,"","","",""
"Dengue",2022,"Ceuta",0,0,"","","",""
"Dengue",2023,"Ceuta",0,0,"","","",""
"Dengue",2024,"Ceuta",0,0,"","","",""
"Dengue",2022,"Melilla",0,0,"","","",""
"Dengue",2023,"Melilla",0,0,"","","",""
"Dengue",2024,"Melilla",1,1.163,"","","",""
"Dengue",2024,"España",1119,2.302,"521","591","Total","1112"
"Dengue",2024,"España",1119,2.302,"43","34","0-15","77"
"Dengue",2024,"España",1119,2.302,"44","42","15-25","86"
"Dengue",2024,"España",1119,2.302,"144","168","25-35","312"
"Dengue",2024,"España",1119,2.302,"106","148","35-45","254"
"Dengue",2024,"España",1119,2.302,"89","111","45-55","200"
"Dengue",2024,"España",1119,2.302,"61","64","55-65","125"
"Dengue",2024,"España",1119,2.302,"34","24",">=65","58"
"Dengue",2023,"España",616,1.281,"351","264","Total","616"
"Dengue",2023,"España",616,1.281,"29","22","0-15","51"
"Dengue",2023,"España",616,1.281,"29","29","15-25","58"
"Dengue",2023,"España",616,1.281,"83","107","25-35","190"
"Dengue",2023,"España",616,1.281,"62","86","35-45","148"
